nid,nseq,eid,x,y,epsg
122250,1,178507,784.047704279234,70.9282783435832,3364
122250,2,178553,784.047704279234,70.9282783435832,3364
122250,3,178551,784.047704279234,70.9282783435832,3364
122251,1,178553,783.868016701335,71.1321463159236,3364
122251,2,178552,783.868016701335,71.1321463159236,3364
122251,3,178548,783.868016701335,71.1321463159236,3364
122252,1,178557,613.346375851802,44.7984515750003,3364
122252,2,178555,613.346375851802,44.7984515750003,3364
122253,1,177487,613.349988019999,45.2292690894104,3364
122253,2,178555,613.349988019999,45.2292690894104,3364
122253,3,178554,613.349988019999,45.2292690894104,3364
122254,1,181117,616.11147841245,46.0561822807351,3364
122254,2,178557,616.11147841245,46.0561822807351,3364
122254,3,178556,616.11147841245,46.0561822807351,3364
122255,1,180938,750.40653378092,207.734432184054,3364
122255,2,178558,750.40653378092,207.734432184054,3364
122256,1,177347,828.257521523949,90.1542659679268,3364
122256,2,178875,828.257521523949,90.1542659679268,3364
122256,3,178559,828.257521523949,90.1542659679268,3364
122257,1,179322,830.266862278509,90.0620739077283,3364
122257,2,178561,830.266862278509,90.0620739077283,3364
122257,3,176851,830.266862278509,90.0620739077283,3364
122258,1,178563,830.019377347153,91.7070226357096,3364
122258,2,178562,830.019377347153,91.7070226357096,3364
122258,3,179324,830.019377347153,91.7070226357096,3364
122259,1,178564,730.487817680987,107.488061158064,3364
122259,2,177295,730.487817680987,107.488061158064,3364
122259,3,182914,730.487817680987,107.488061158064,3364
122260,1,178566,719.554566529792,111.3175871909,3364
122260,2,178565,719.554566529792,111.3175871909,3364
122260,3,177298,719.554566529792,111.3175871909,3364
122261,1,175564,664.312019485555,214.404116763959,3364
122261,2,178572,664.312019485555,214.404116763959,3364
122261,3,178567,664.312019485555,214.404116763959,3364
122262,1,178571,664.389569139597,212.522275699227,3364
122262,2,178568,664.389569139597,212.522275699227,3364
122262,3,178569,664.389569139597,212.522275699227,3364
122263,1,178569,664.316311055856,213.495493648158,3364
122263,2,177799,664.316311055856,213.495493648158,3364
122263,3,178572,664.316311055856,213.495493648158,3364
122264,1,178570,667.625032420464,211.421884719794,3364
122264,2,177333,667.625032420464,211.421884719794,3364
122264,3,178571,667.625032420464,211.421884719794,3364
122265,1,177812,809.930727128546,74.8049219262685,3364
122265,2,178575,809.930727128546,74.8049219262685,3364
122265,3,178573,809.930727128546,74.8049219262685,3364
122266,1,175185,808.158090407072,74.9001772724758,3364
122266,2,181755,808.158090407072,74.9001772724758,3364
122266,3,178574,808.158090407072,74.9001772724758,3364
122267,1,178579,766.227956452575,106.079146793675,3364
122267,2,178577,766.227956452575,106.079146793675,3364
122268,1,178576,772.659519595471,103.594810863681,3364
122268,2,178578,772.659519595471,103.594810863681,3364
122268,3,180046,772.659519595471,103.594810863681,3364
122269,1,178578,766.221287629992,106.030686720028,3364
122269,2,178197,766.221287629992,106.030686720028,3364
