rn,D04,R04,D08,R08,D12,R12,D16,R16
1263,1381,2920,1690,3006,998,2329,663,1347
1264,887,2245,1050,2159,1284,2992,1171,2957
1265,320,631,379,640,1119,2497,1055,2292
1266,219,533,267,549,397,946,718,1713
1267,731,1726,791,1667,826,2107,735,1952
1268,644,1548,765,1502,621,1524,553,1532
1269,1130,2691,1499,2477,886,2027,951,1857
1270,354,942,402,939,557,1347,565,1311
1271,689,1668,758,1600,589,1433,560,1321
1272,979,1799,1241,1624,914,1506,888,1208
1273,1524,2214,1760,1920,1589,2078,1388,1754
1274,1119,1956,1302,1687,1446,2448,1383,1932
1275,802,994,841,892,636,714,536,610
1276,1470,2124,1536,1944,1751,2765,1765,2340
1277,849,1449,961,1226,684,999,731,838
1278,1287,1319,1554,1072,1517,1285,1377,1100
1279,756,776,886,679,985,1041,927,833
1280,855,1207,942,1084,1484,1318,818,945
1281,1026,1815,1263,1785,963,1399,912,1152
1282,710,1446,774,1276,506,965,656,976
1283,372,439,406,375,151,213,161,191
1284,777,1812,950,1714,1275,2590,1325,2182
1285,849,1871,969,1649,1207,2341,1332,2080
1286,1490,2224,1607,2031,1583,2139,1309,1744
1287,338,1241,390,1126,382,1225,415,1001
1288,697,1601,785,1433,799,1941,949,1995
1289,653,1375,829,1366,815,1717,857,1596
1290,1356,3027,1621,2755,1141,2710,1248,2419
1291,1060,2227,1036,1840,1048,2418,1033,2058
1292,1020,2293,1193,1957,1151,2727,1134,2254
1293,872,2196,1088,2183,1813,4175,1425,3218
1294,597,1206,628,1145,230,499,296,519
1295,703,2468,922,2572,748,2711,811,2438
1296,758,1990,920,1978,340,950,513,1323
1297,512,1731,630,1664,656,2306,686,2047
1298,791,2209,994,2166,1065,2737,1045,2279
1299,1042,2456,1313,2196,801,1879,829,1716
1300,887,2164,1031,2086,876,2325,997,1999
1301,1083,2544,1272,2380,1045,2496,1126,2183
1302,815,2001,931,1819,892,2190,986,1856
1303,1161,3056,1259,3040,1002,2928,979,2743
1304,981,2480,1123,2383,905,2492,858,2248
1305,642,1561,745,1552,880,2203,869,2034
1306,279,703,326,644,533,1235,499,1138
1307,988,2105,1257,2158,939,1971,911,1921
1308,987,2569,1193,2337,1037,2766,955,2650
1309,910,1768,1007,1796,1027,2428,948,2252
1310,444,920,468,875,399,978,378,903
1311,621,1555,679,1447,556,1427,612,1299
1312,1372,2771,1616,2613,1290,2521,1194,2279
1313,912,1775,1211,1812,967,2009,1211,2060
1314,851,1921,1056,1770,1154,2401,1080,2131
1315,375,1035,456,961,375,1046,393,938
1316,471,1249,576,1276,553,1493,504,1513
1317,954,2632,1186,2640,956,2689,946,2587
1318,1000,1482,1128,1090,971,4279,669,1455
1319,554,948,678,760,449,645,291,775
1320,1017,1291,1220,1045,1173,1317,874,1498
1321,429,651,481,440,491,615,301,786
1322,908,1244,943,884,590,681,483,710
1323,868,1476,1042,1180,916,1306,700,1364
1324,797,1408,1005,1114,880,1096,560,1381
1325,790,1451,1019,1216,630,1106,461,1215
1326,1872,2036,2218,1476,2472,2384,1750,2998
1327,1601,2201,2038,1696,1934,1885,1622,2066
1328,858,1251,1011,956,823,1053,564,1233
1329,900,1429,1100,1094,683,1006,451,1196
1330,691,1102,725,892,626,1045,451,1208
1331,971,1114,1111,992,1097,1198,756,1360
1332,743,935,879,771,654,711,498,874
1333,631,891,742,710,761,956,541,1104
1334,859,1059,896,937,982,1106,658,1295
1335,783,858,814,702,609,740,425,919
1336,819,1218,926,973,917,1110,666,1275
1337,584,460,644,314,761,460,563,484
1338,1691,1416,1884,985,776,511,676,492
1340,2563,2462,2725,1846,2191,1759,1821,1773
1341,1176,851,1452,553,2697,1381,2100,1479
1342,1475,1243,1815,845,1478,995,1176,997
1343,1322,1017,1401,742,1546,865,1199,866
1344,1117,1282,1468,1104,901,706,739,767
