rn,D16,R16
333,3609.8885830384056,3140.493103113313
335,2285.0646080399583,2166.2113264364466
336,1107.1009651537415,372.6704793821944
338,1137.9108250374265,165.28911069017437
339,856.5141047664383,119.09029093205109
340,2062.2066215479713,344.9511875273204
341,1203.6385261226208,735.0745543736947
342,1017.7523714910557,492.7874107533149
343,829.8122262005782,348.0311088445286
344,2.053990658912322,0.0
345,124.0,668.0
346,310.0,1331.0
347,252.0,750.0
348,208.0,839.0
349,344.0,1082.0
350,362.0,1255.0
351,433.0,1228.0
352,430.0,1606.0
353,270.0,764.0
354,764.0,2253.0
355,554.0,1785.0
356,218.0,719.0
357,401.0,1343.0
358,441.0,1279.0
359,402.0,1039.0
360,411.0,693.0
361,809.0,1881.0
362,452.0,1477.0
363,356.0,1658.0
364,660.0,2023.0
365,262.0,981.0
366,555.0,127.0
367,378.0,1407.0
368,227.0,1204.0
369,273.0,1889.0
370,105.0,891.0
371,793.0,1055.0
374,481.0,1898.0
375,861.0,2624.0
376,1202.0,2389.0
377,242.0,599.0
378,796.0,939.0
379,810.0,1759.0
380,244.0,844.0
381,445.0,948.0
382,208.0,1038.0
383,312.0,1621.0
384,368.0,2158.0
385,212.0,1221.0
386,592.0,1488.0
387,474.0,2026.0
388,399.0,1473.0
389,252.0,904.0
390,1195.0,2940.0
392,387.0,1390.0
393,846.0,409.0
394,229.0,902.0
395,155.0,528.0
396,62.0,297.0
397,54.0,242.0
398,915.0,2616.0
399,645.0,1480.0
400,76.0,361.0
401,1004.0,2264.0
402,371.0,1241.0
403,1032.0,203.0
404,305.0,720.0
405,310.0,2174.0
406,78.0,396.0
407,251.0,1264.0
409,327.0,1492.0
410,291.0,333.0
411,789.0,1691.0
412,354.0,836.0
413,606.0,1485.0
414,168.0,854.0
415,179.0,528.0
416,203.0,751.0
417,191.0,975.0
418,255.0,1589.0
419,385.0,2315.0
420,88.0,390.0
421,235.0,1357.0
422,451.0,806.0
423,299.0,1256.0
424,439.0,1373.0
425,237.0,723.0
426,180.0,551.0
427,514.0,2735.0
429,449.0,2307.0
431,683.0,3522.0
432,216.0,1237.0
433,124.0,798.0
434,305.0,1632.0
435,170.0,803.0
436,149.0,819.0
437,199.0,723.0
438,220.0,713.0
439,286.0,1015.0
440,294.0,1185.0
441,287.0,607.0
442,307.0,783.0
443,242.0,491.0
444,288.0,536.0
445,634.0,2135.0
446,601.0,2876.0
447,191.0,1020.0
448,58.0,385.0
450,341.0,2019.0
451,428.0,2105.0
452,698.0,2900.0
453,1086.0,34.0
454,1056.0,684.0
455,589.0,465.0
458,724.0,103.0
459,560.0,142.0
462,723.0,318.0
463,1380.0,94.0
464,952.0,250.0
466,568.0,355.0
467,40.0,6.0
468,1027.0,283.0
469,744.0,565.0
470,469.0,123.0
472,205.0,152.0
474,3627.0,546.0
475,581.0,493.0
476,657.0,2397.0
477,64.0,291.0
478,324.0,1875.0
480,512.0,2171.0
481,108.0,458.0
482,355.0,1450.0
483,397.0,1673.0
484,565.0,2124.0
485,297.0,1280.0
486,759.0,2254.0
487,454.0,1604.0
488,364.0,1222.0
489,1121.0,2401.0
490,1303.0,2516.0
491,846.0,1322.0
492,124.0,472.0
493,367.0,636.0
494,543.0,684.0
495,1019.0,912.0
496,768.0,1495.0
497,643.0,651.0
498,279.0,330.0
499,716.0,553.0
500,65.0,64.0
501,1162.0,1672.0
502,240.0,1220.0
503,912.0,2072.0
504,1782.0,2764.0
505,1401.0,4774.0
506,574.0,1373.0
507,434.0,1929.0
508,429.0,715.0
509,705.0,1519.0
510,766.0,1496.0
511,1169.0,1978.0
512,689.0,1392.0
513,686.0,1560.0
514,939.0,1653.0
515,1956.0,491.0
516,1047.0,773.0
517,1330.0,1963.0
518,626.0,1241.0
519,1109.0,1170.0
520,1689.0,193.0
521,781.0,595.0
522,637.0,928.0
523,933.0,2397.0
525,760.0,1416.0
526,541.0,1219.0
527,1178.0,1338.0
528,376.0,750.0
529,630.0,1918.0
530,1477.0,131.0
531,536.0,64.0
532,527.0,160.0
533,47.0,29.0
534,267.0,392.0
535,136.0,863.0
536,186.0,980.0
537,305.0,998.0
538,1659.0,1037.0
540,1318.0,1086.0
541,272.0,1426.0
542,631.0,372.0
543,318.0,1566.0
544,269.0,1491.0
545,293.0,1004.0
546,169.0,814.0
547,318.0,2017.0
548,255.0,1120.0
549,277.0,1512.0
550,185.0,1177.0
551,110.0,430.0
552,325.0,1625.0
553,335.0,1637.0
554,371.0,1990.0
555,11.0,41.0
556,575.0,2261.0
557,299.0,794.0
558,384.0,1875.0
559,190.0,846.0
560,342.0,1865.0
561,103.0,595.0
562,1086.0,920.0
563,910.0,1140.0
564,855.0,418.0
566,331.0,139.0
567,529.0,396.0
568,264.0,1281.0
569,321.0,1042.0
570,190.0,1313.0
571,308.0,1318.0
572,590.0,1912.0
573,127.0,1272.0
574,534.0,2278.0
575,289.0,1272.0
576,169.0,716.0
579,403.0,912.0
580,796.0,909.0
581,350.0,1471.0
582,522.0,1950.0
583,555.0,1772.0
584,270.0,846.0
585,228.0,747.0
586,525.0,1393.0
587,81.0,360.0
588,165.0,577.0
589,240.0,637.0
590,398.0,899.0
591,228.0,646.0
592,237.0,859.0
593,198.0,615.0
594,655.0,1176.0
595,520.0,1336.0
596,357.0,944.0
597,189.0,564.0
598,210.0,608.0
599,565.0,1624.0
600,165.0,440.0
601,386.0,2211.0
602,233.0,1413.0
603,792.0,2033.0
604,315.0,1417.0
605,288.0,1203.0
607,416.0,1703.0
608,664.0,3145.0
609,400.0,1651.0
610,84.0,515.0
611,175.0,1140.0
612,198.0,1133.0
613,159.0,696.0
614,372.0,1926.0
615,870.0,328.0
618,413.0,241.0
619,167.0,104.0
620,512.0,356.0
625,463.0,31.0
626,693.0,192.0
627,1116.0,767.0
629,988.0,953.0
630,286.0,175.0
631,215.0,300.0
632,663.0,251.0
633,485.0,292.0
634,2067.0,1797.0
635,524.0,525.0
636,1076.0,178.0
637,615.0,408.0
638,907.0,1345.0
641,694.0,522.0
642,557.0,695.0
643,1627.0,1979.0
646,1403.0,1847.0
648,445.0,465.0
649,749.0,1173.0
651,1907.0,1741.0
653,922.0,1390.0
654,1338.0,2001.0
655,861.0,1145.0
658,1522.0,2227.0
663,487.0,709.0
664,919.0,1416.0
666,731.0,953.0
667,1250.0,2239.0
668,739.0,1957.0
669,410.0,811.0
670,301.0,897.0
671,242.0,1074.0
672,191.0,442.0
673,430.0,1890.0
674,389.0,1249.0
675,111.0,547.0
676,673.0,1973.0
678,912.0,1502.0
679,1561.0,2525.0
681,1729.0,2256.0
682,2003.0,3460.0
686,995.0,1588.0
687,1111.0,2045.0
689,1554.0,2915.0
691,1959.0,4216.0
694,1215.0,3068.0
695,1764.0,3775.0
696,1213.0,2237.0
697,568.0,1076.0
699,534.0,1575.0
700,902.0,2130.0
702,1102.0,2593.0
703,1440.0,4630.0
705,597.0,2218.0
707,1746.0,5504.0
708,1253.0,4646.0
711,339.0,1626.0
713,821.0,2917.0
714,105.0,575.0
715,276.0,1215.0
717,631.0,3327.0
719,199.0,849.0
720,263.0,1026.0
721,874.0,247.0
722,673.0,132.0
723,1089.0,78.0
724,635.0,254.0
725,349.0,57.0
726,1895.0,1239.0
727,361.0,702.0
728,216.0,655.0
729,330.0,966.0
730,406.0,1174.0
731,234.0,586.0
733,136.0,561.0
734,515.0,631.0
735,272.0,296.0
736,754.0,455.0
737,409.0,215.0
738,257.0,1299.0
739,117.0,806.0
740,367.0,1647.0
741,534.0,2193.0
742,186.0,778.0
743,144.0,369.0
744,209.0,1086.0
745,152.0,593.0
746,456.0,1407.0
747,299.0,1808.0
748,100.0,434.0
749,454.0,1709.0
750,436.0,1876.0
751,196.0,938.0
752,150.0,736.0
753,127.0,559.0
754,722.0,1793.0
755,402.0,1215.0
756,161.0,810.0
757,252.0,1513.0
758,287.0,1390.0
759,257.0,1444.0
760,981.0,3991.0
762,532.0,1510.0
763,123.0,519.0
764,550.0,2083.0
765,365.0,1831.0
766,1586.0,4463.0
768,624.0,2278.0
769,158.0,935.0
770,465.0,2760.0
772,563.0,1367.0
773,157.0,328.0
775,459.0,1718.0
776,346.0,1582.0
777,781.0,3433.0
778,184.0,864.0
779,555.0,2639.0
780,206.0,1220.0
781,92.0,615.0
782,259.0,1163.0
783,129.0,617.0
784,706.0,2183.0
785,296.0,1070.0
786,160.0,973.0
787,324.0,2067.0
788,82.0,707.0
789,467.0,2454.0
790,199.0,1035.0
791,559.0,859.0
792,1069.0,854.0
794,894.0,298.0
795,863.0,40.0
798,515.0,174.0
799,738.0,13.0
800,944.0,57.0
802,462.0,1552.0
803,436.0,78.0
804,1230.0,1053.0
806,1741.0,3732.0
808,460.0,1022.0
809,374.0,795.0
810,963.0,1266.0
811,925.0,1421.0
812,293.0,1019.0
813,704.0,2301.0
814,762.0,1913.0
815,433.0,637.0
816,722.0,630.0
817,361.0,1621.0
818,316.0,1332.0
819,423.0,1668.0
820,195.0,552.0
821,720.0,1913.0
822,100.0,370.0
823,1078.0,1861.0
824,584.0,2247.0
825,1407.0,3011.0
826,396.0,932.0
829,465.0,1994.0
830,140.0,704.0
831,303.0,994.0
832,2056.0,5491.0
833,639.0,1668.0
834,544.0,1771.0
835,814.0,1647.0
836,1288.0,391.0
838,221.0,305.0
840,1075.0,2016.0
841,660.0,2167.0
843,751.0,1493.0
844,605.0,1361.0
845,492.0,1805.0
846,450.0,1986.0
847,157.0,654.0
848,433.0,1359.0
849,266.0,1329.0
850,540.0,2637.0
851,613.0,2406.0
852,363.0,889.0
853,667.0,2393.0
854,553.0,2299.0
855,284.0,1618.0
856,166.0,1132.0
859,873.0,1091.0
860,439.0,222.0
861,486.0,680.0
862,711.0,1286.0
864,582.0,420.0
866,1054.0,598.0
870,1801.0,1805.0
874,618.0,402.0
876,931.0,769.0
877,1165.0,1020.0
879,278.0,221.0
880,573.0,2273.0
882,1199.0,3511.0
883,1709.0,4640.0
884,1094.0,2666.0
886,337.0,655.0
887,1980.0,2995.0
888,1477.0,2483.0
889,1268.0,1462.0
890,1048.0,1070.0
891,1225.0,1167.0
895,851.0,905.0
896,189.0,1035.0
897,210.0,817.0
898,231.0,1134.0
899,113.0,685.0
900,264.0,1197.0
901,279.0,1272.0
902,167.0,1153.0
903,401.0,1394.0
904,194.0,634.0
905,118.0,837.0
906,194.0,1435.0
907,259.0,1615.0
908,427.0,1402.0
909,574.0,766.0
911,165.0,949.0
912,94.0,494.0
913,206.0,708.0
914,281.0,772.0
916,702.0,1657.0
917,210.0,649.0
918,393.0,1435.0
919,153.0,838.0
920,348.0,1085.0
921,249.0,1082.0
922,536.0,2021.0
923,108.0,473.0
924,195.0,674.0
925,451.0,1578.0
926,333.0,1517.0
927,165.0,855.0
928,457.0,1622.0
929,1014.0,3522.0
930,250.0,865.0
931,294.0,365.0
932,325.0,829.0
933,814.0,1415.0
935,794.0,1511.0
936,608.0,1239.0
937,306.0,523.0
938,474.0,1662.0
939,238.0,947.0
940,324.0,1554.0
941,905.0,2832.0
942,48.0,116.0
943,272.0,1152.0
944,341.0,1519.0
945,528.0,2780.0
946,184.0,909.0
947,372.0,1154.0
948,245.0,1146.0
950,515.0,2322.0
951,562.0,2004.0
952,477.0,2275.0
953,360.0,1215.0
954,525.0,1413.0
955,492.0,1548.0
956,297.0,1192.0
957,428.0,1215.0
958,402.0,1837.0
959,779.0,859.0
960,482.14885377943,1759.9267092451053
961,489.3451053283767,1891.006700869019
962,200.46700743494424,1132.9782221756884
963,1298.4093866171004,3652.965658046278
964,1460.8390644361834,1414.444560778976
968,187.10254027261462,765.1413464558685
969,814.2044609665428,2274.0854360799917
970,1016.7275402726145,3619.433567165742
971,177.85021685254029,858.6247513349388
973,509.90582403965306,2041.393047848393
974,2063.0,1311.0
977,969.0,702.0
979,755.0,1071.0
980,1433.0,2870.0
982,799.0,1190.0
984,357.0,336.0
985,817.0,1566.0
988,578.0,1872.0
989,1319.0,4540.0
990,1112.0,3123.0
991,735.0,2257.0
992,824.0,1974.0
993,1107.0,1455.0
994,1081.0,2152.0
995,723.0,2009.0
996,1709.0,4034.0
997,638.0,2079.0
998,216.0,625.0
999,763.0,1512.0
1000,1879.0,3345.0
1001,982.0,1449.0
1003,1208.0,2206.0
1004,1058.0,2446.0
1005,934.0,1808.0
1006,774.0,1701.0
1007,692.0,1320.0
1008,779.0,1463.0
1010,1098.0,2153.0
1011,1157.0,1408.0
1012,276.0,107.0
1013,1434.0,1293.0
1015,1108.0,944.0
1016,210.0,262.0
1017,1954.0,2003.0
1020,1377.0,807.0
1021,1073.0,1638.0
1022,715.0,1484.0
1023,140.0,1050.0
1024,262.0,1897.0
1025,262.0,1566.0
