rn,D12,R12,D16,R16
2078,1677,1262,1942,1116
2080,2696,1677,2882,1461
2082,923,1900,974,1646
2083,1153,1557,1099,1277
2084,1153,967,1211,970
2085,1030,1234,913,1152
2086,3408,4718,3756,4242
2087,5150,5708,5256,4734
2088,2140,2464,2247,2469
2089,1334,2019,916,1314
2090,2096,3082,2000,2414
2091,1063,1425,756,1111
2092,6478,5110,3390,2470
2094,394,685,355,537
2095,5688,5028,4082,3424
2096,2019,867,2474,816
2097,3395,2323,3141,1540
2099,244,355,247,363
2100,1094,1676,990,1684
2101,2152,476,2000,512
2102,7436,3232,6928,3268
2103,3842,990,3498,974
2104,1298,424,1212,432
2105,2324,2412,1890,2542
2106,5058,3123,4824,2784
2107,2006,1134,1956,1134
2108,3288,4554,3015,4053
2109,2298,4084,1886,3930
2110,1025,1014,1361,1061
2111,900,858,1087,782
2112,5937,2865,7701,2607
2114,800,424,948,496
2115,586,1229,436,867
2116,2510,3128,2624,3060
2117,1132,977,1231,995
2118,1259,1061,1068,872
2119,2434,2764,3028,3926
2120,1184,1654,1312,1872
2121,490,1135,409,1006
2122,2384,5994,2358,6724
2123,826,1623,782,1790
2125,913,1952,843,1751
2127,2496,7020,1862,5498
2129,742,776,742,726
2130,774,222,973,275
2131,818,1312,1102,1522
2132,1296,307,810,213
2133,1972,3710,1334,2934
2134,774,1011,632,1227
2135,889,611,1013,780
2136,514,2584,421,2781
2137,1930,6042,1490,7146
2138,490,1220,373,1064
2139,993,406,904,400
2140,7287,5844,6006,4854
2141,654,468,693,489
2142,9036,1491,9192,1626
2143,862,64,965,85
2144,3908,798,3720,720
2145,754,287,912,376
2147,2826,8874,1737,8787
2148,848,2902,758,3402
2149,1198,3606,884,4056
2150,454,1898,346,2062
2151,1618,3990,1384,4516
2152,531,529,577,582
2153,3159,6144,2631,6819
2154,165,411,115,525
2155,455,1360,342,1465
2156,988,1766,770,2298
2157,1288,2200,1020,2850
2158,2370,6537,2142,7566
2160,4000,11336,3356,15404
2161,3458,384,3310,334
2162,851,31,764,35
2163,976,382,829,352
2164,1405,1176,1150,619
2165,1710,3374,1638,2684
2166,2484,3802,2524,3104
2167,4632,3614,4136,2216
2168,1206,71,959,52
2169,513,4,501,5
2170,4948,182,4738,142
2171,500,1353,597,1670
2172,545,415,700,677
2173,418,355,570,712
2174,916,783,829,1103
2175,1326,1352,1219,1535
2176,1832,2526,1499,1665
2177,713,1892,693,1929
2178,499,866,519,1453
2179,544,1058,648,1472
2180,1616,5720,1530,6428
2181,674,3268,522,3738
2182,533,1456,365,1701
2183,1534,4396,1338,4728
2184,2157,6429,1584,7419
2185,460,1194,343,1022
2186,326,1089,224,1231
2187,614,634,596,766
2188,1544,2428,1226,2846
2189,1154,1334,816,1790
2190,4422,5736,3519,6768
2191,1629,2553,1218,3135
