rn,state,cid,tract,pop,white,black,hispanic
151,24,5,402303,6712.0,719.0,5752.0,470.0
152,24,5,402304,3980.0,308.0,3654.0,155.0
153,24,5,402305,2197.0,383.0,1758.0,77.0
154,24,5,402306,3991.0,315.0,3375.0,154.0
155,24,5,402307,5866.0,712.0,4911.0,337.0
156,24,5,402403,2229.0,242.0,1922.0,71.0
157,24,5,402404,5262.0,341.0,4720.0,143.0
158,24,5,402405,3262.0,709.0,2388.0,401.0
159,24,5,402406,6425.0,298.0,5586.0,321.0
160,24,5,402407,1518.0,414.0,960.0,26.0
161,24,5,402503,5100.0,638.0,4142.0,65.0
162,24,5,402504,4209.0,690.0,3369.0,104.0
163,24,5,402505,3415.0,325.0,2884.0,1.0
164,24,5,402506,4263.0,606.0,3473.0,102.0
165,24,5,402509,8964.0,3222.0,4720.0,592.0
166,24,5,402602,2170.0,402.0,1677.0,92.0
167,24,5,402603,6071.0,1113.0,4787.0,95.0
168,24,5,402604,5855.0,948.0,4757.0,219.0
169,24,5,403100,2372.0,659.0,1610.0,34.0
170,24,5,403201,3252.0,373.0,2727.0,150.0
171,24,5,403202,1997.0,169.0,1622.0,38.0
172,24,5,403300,2352.0,1002.0,1123.0,112.0
173,24,5,403401,3330.0,1833.0,1298.0,97.0
174,24,5,403402,4676.0,2335.0,2120.0,353.0
175,24,5,403500,5389.0,4442.0,227.0,30.0
176,24,5,403601,4616.0,4159.0,171.0,17.0
177,24,5,403602,5654.0,3986.0,605.0,153.0
178,24,5,403701,7332.0,5368.0,1202.0,325.0
179,24,5,403702,4789.0,3316.0,1123.0,161.0
180,24,5,403801,1661.0,1472.0,13.0,26.0
181,24,5,403802,2852.0,2665.0,136.0,10.0
182,24,5,403803,3274.0,3056.0,81.0,36.0
183,24,5,404101,4923.0,2398.0,2077.0,158.0
184,24,5,404102,5992.0,2901.0,2316.0,647.0
185,24,5,404201,6578.0,2700.0,2794.0,505.0
186,24,5,404202,9764.0,3412.0,5002.0,1456.0
187,24,5,404402,6096.0,4686.0,867.0,151.0
188,24,5,404403,5331.0,2701.0,2153.0,551.0
189,24,5,404404,4682.0,2989.0,1170.0,205.0
190,24,5,404501,6970.0,4632.0,1725.0,895.0
191,24,5,404502,4076.0,2437.0,1236.0,780.0
192,24,5,404600,2596.0,2460.0,55.0,125.0
193,24,5,404800,2012.0,1733.0,211.0,76.0
194,24,5,404900,4649.0,4085.0,205.0,102.0
195,24,5,405000,4581.0,4343.0,121.0,122.0
196,24,5,406000,5520.0,5342.0,93.0,135.0
197,24,5,407001,3109.0,2875.0,87.0,36.0
198,24,5,407002,6031.0,5550.0,45.0,98.0
199,24,5,408100,6083.0,5131.0,396.0,237.0
200,24,5,408200,1878.0,1741.0,78.0,45.0
201,24,5,408302,2983.0,2455.0,0.0,54.0
202,24,5,408303,3538.0,3076.0,172.0,46.0
203,24,5,408304,4989.0,4283.0,193.0,154.0
204,24,5,408400,737.0,636.0,27.0,23.0
205,24,5,408502,5323.0,4800.0,74.0,180.0
206,24,5,408503,3170.0,1771.0,762.0,135.0
207,24,5,408505,3929.0,3137.0,204.0,227.0
208,24,5,408506,4540.0,2578.0,1410.0,452.0
209,24,5,408507,6560.0,3295.0,1306.0,728.0
210,24,5,408601,4042.0,3670.0,0.0,203.0
211,24,5,408602,2101.0,1797.0,19.0,172.0
212,24,5,408702,2399.0,2234.0,39.0,33.0
213,24,5,408703,6114.0,5308.0,193.0,79.0
214,24,5,408704,5647.0,4595.0,20.0,122.0
215,24,5,408800,2444.0,2056.0,28.0,83.0
216,24,5,408900,2871.0,2404.0,294.0,0.0
217,24,5,410100,5389.0,5132.0,96.0,113.0
218,24,5,410200,4930.0,4567.0,9.0,40.0
219,24,5,411101,2266.0,2161.0,80.0,5.0
220,24,5,411102,2921.0,2866.0,29.0,25.0
221,24,5,411201,3222.0,3174.0,26.0,44.0
222,24,5,411202,3522.0,3281.0,106.0,15.0
223,24,5,411302,3619.0,2647.0,317.0,93.0
224,24,5,411303,5701.0,4208.0,672.0,360.0
225,24,5,411306,5747.0,4019.0,605.0,54.0
226,24,5,411307,3871.0,2415.0,525.0,173.0
227,24,5,411308,3512.0,2858.0,225.0,39.0
228,24,5,411309,8494.0,6552.0,634.0,133.0
229,24,5,411404,3754.0,3149.0,248.0,33.0
230,24,5,411406,4491.0,4044.0,208.0,110.0
231,24,5,411407,10244.0,7388.0,1494.0,121.0
232,24,5,411408,3221.0,2318.0,393.0,294.0
233,24,5,411409,5312.0,3871.0,807.0,306.0
234,24,5,411410,4735.0,3521.0,438.0,101.0
235,24,5,420100,3948.0,3561.0,82.0,20.0
236,24,5,420200,2328.0,2019.0,130.0,104.0
237,24,5,420301,2557.0,1985.0,373.0,57.0
238,24,5,420302,2559.0,2225.0,158.0,267.0
239,24,5,420303,1350.0,1319.0,5.0,4.0
240,24,5,420401,6274.0,4323.0,933.0,88.0
241,24,5,420402,2081.0,1805.0,47.0,135.0
242,24,5,420500,3259.0,2739.0,184.0,280.0
243,24,5,420600,4300.0,3763.0,286.0,259.0
244,24,5,420701,3435.0,2503.0,174.0,281.0
245,24,5,420702,2008.0,1622.0,142.0,80.0
246,24,5,420800,3527.0,3007.0,123.0,275.0
247,24,5,420900,3419.0,2851.0,347.0,175.0
248,24,5,421000,1761.0,1486.0,182.0,23.0
249,24,5,421101,3072.0,2366.0,372.0,276.0
250,24,5,421102,2202.0,1970.0,116.0,102.0
251,24,5,421200,1725.0,1544.0,147.0,17.0
252,24,5,421300,2812.0,576.0,1989.0,0.0
253,24,5,430101,4565.0,2118.0,1356.0,1793.0
254,24,5,430104,3138.0,2526.0,208.0,417.0
255,24,5,430200,2891.0,2179.0,417.0,233.0
256,24,5,430300,5599.0,3252.0,1933.0,933.0
