rn,D16,R16
68,2914.746439684552,619.7399629795111
70,4085.7958148800603,914.7928767473032
71,1546.7547374833302,228.05399885108827
72,2576.914601820906,516.6647092615051
73,2220.9034722336555,411.0125742005489
77,1396.775580763595,381.3784387566222
78,1766.4211791435487,333.70613391204444
79,2058.804787698184,439.3582689730006
80,1904.280808047548,354.32118465564565
81,1845.198109945834,323.3986085402438
82,1280.1251255371344,224.18867683666303
84,1372.5365251321227,329.84081189761923
85,1913.3704539093499,220.32335482223783
86,1631.5914321934836,360.763388013021
88,1740.6671825351093,454.8195570307015
89,2682.960470208597,479.2999297887279
91,1964.8784471262286,315.6679645113934
92,1669.464956617659,248.66904959468948
93,2466.323910502313,416.16633688644924
95,2016.3864403431076,353.03274398417057
96,1672.4948385715932,347.8789812982702
97,1793.690116728955,429.0507436012
98,2080.0139613757224,277.01474436714113
99,2196.6644166021833,443.2235909874258
100,1852.772814830669,262.8418969809153
102,1422.5295773720345,429.0507436012
103,2290.5907571741386,530.8375566477309
104,2602.6685984293454,626.1821663368864
108,1898.2210441396796,581.0867428352589
109,1617.9569634007803,310.51420182549305
110,2407.241212400599,484.4536924746282
111,1631.5914321934836,416.16633688644924
112,329.70875902465605,1536.238786494862
113,259.53425963765153,1400.7510601859403
114,1157.3222994142488,3355.188183004404
115,631.5704944830404,2514.5241803947156
116,285.1535213186214,1055.0973332245962
117,1307.6962266721155,2807.9031153156093
118,451.12178177360033,1394.3500652422117
119,755.2112791172865,2503.855855488501
120,296.2923307451301,633.6984994291306
121,659.4175180493121,2582.801459794487
122,345.30309222176817,820.3941852878812
123,966.8486582209509,3402.128812591747
124,731.8197793216184,2156.0684635459143
125,603.0,1548.0
126,1104.2384849193359,3147.037085391673
127,1073.4065934065934,3155.691707833451
128,899.8344634089315,2828.9797106563165
129,307.17699321954643,1459.3857092448836
130,1127.076923076923,4339.2113267466475
131,471.6137479541735,1568.6503175723358
132,496.73602992751927,1579.468595624559
133,1477.6469487958848,2979.353775582216
134,706.8496609773206,2125.791637261821
136,463.620294599018,1409.6216302046578
137,300.3254617722703,1019.0817925194071
138,540.1290624269348,2076.027558221595
139,253.50666354921674,934.6992237120678
140,275.20317979892445,1073.1731827805222
141,270.63549216740705,962.8267466478476
143,213.24146341463415,1208.1913043478262
144,239.75853658536585,1364.8086956521738
145,799.3914373088685,2473.7937616765494
146,789.0840978593271,2469.4480545853303
148,1006.6834862385322,2822.536755746893
149,287.46024464831805,890.8699536999432
150,684.8654434250765,1779.5670538542768
151,926.5152905198777,2938.7844204370076
153,1647.5885391047714,1128.6111940298508
156,1398.5216428922774,469.4022388059701
157,1434.8898180029514,1447.9865671641792
158,465.4496281271129,2305.62416918429
159,103.56254225828262,546.6489425981873
160,264.14266396213657,1012.8435045317221
161,162.90736984448952,729.6
162,161.74374577417174,569.7933534743203
163,197.816091954023,987.4948640483383
164,365.3779580797837,1143.9951661631421
165,837.0096551724138,895.2329065649687
166,824.0662068965516,884.4728956687551
167,571.6689655172414,758.5807681830563
168,895.2551724137932,1411.71342958322
169,969.732246798603,2620.734375
170,734.779976717113,2916.571875
171,469.9045401629802,1845.76875
172,487.63678696158325,1637.825
173,466.57974388824215,1265.884375
174,465.47147846332945,1746.084375
175,471.0128055878929,1768.59375
176,411.1664726426077,987.196875
177,374.593713620489,1199.428125
179,512.0186263096624,1113.678125
180,577.4062863795111,1232.65625
181,241.85479119736613,396.14110241056346
182,449.1588979379657,546.4771994472593
183,365.5685323167562,612.3178258866882
184,431.326286605441,784.6007984031936
185,687.6700745104835,843.8573621986795
186,3153.028591232022,3249.234914785813
187,1103.3928261999654,714.3707968678028
188,535.0022007042254,2123.216821856134
189,88.9793133802817,486.61598280978205
190,332.26452464788736,1772.9842423002146
191,541.7601232394367,2185.407653739896
192,642.0026408450703,2127.5810907602577
193,198.23239436619718,828.1200245574541
194,220.7588028169014,1139.074183976261
195,772.3976608187135,606.6515837104073
196,911.0643274853801,378.46153846153845
197,812.5380116959064,490.8868778280543
198,1220.0205867215645,1982.0977466504264
199,273.9500772002059,580.5395858708891
200,661.0293360782296,916.3626674786844
201,630.7682903109284,643.6446541696957
202,872.9382589124455,335.62259840066463
203,1248.020117258051,237.36466663204902
204,1736.8655422490206,894.2575812649288
205,1111.7291116730112,1242.0244184235123
206,1213.1025869015532,998.0356215598712
207,1594.9426769290617,397.44781389552395
209,3503.01675511962,4424.9189947035
211,1145.5202700825253,741.9025859383114
214,932.635972102587,1661.5526664243432
215,1163.542221234266,1877.9409206563505
216,1075.6852093695295,1268.5209393498806
217,1162.4158492872823,1120.5820308443244
