rn,state,cid,tract,pop,white,black,hispanic
293,48,29,160400,4452.0,3612.0,90.0,4271.0
294,48,29,160501,3869.0,3328.0,211.0,3559.0
295,48,29,160502,4272.0,3629.0,25.0,4162.0
296,48,29,160600,5125.0,4540.0,0.0,5062.0
297,48,29,160701,3387.0,2989.0,0.0,3280.0
298,48,29,160702,5025.0,3801.0,55.0,4694.0
299,48,29,160901,3092.0,2595.0,5.0,2901.0
300,48,29,160902,4873.0,4027.0,1.0,4791.0
301,48,29,161000,3781.0,3230.0,45.0,3550.0
302,48,29,161100,9998.0,7828.0,10.0,9680.0
303,48,29,161200,3151.0,2649.0,67.0,2641.0
304,48,29,161302,5954.0,5193.0,158.0,5391.0
305,48,29,161303,5021.0,4102.0,20.0,4739.0
306,48,29,161304,4139.0,3660.0,16.0,3935.0
307,48,29,161400,7714.0,5217.0,1326.0,1311.0
308,48,29,161501,8137.0,6632.0,208.0,6554.0
309,48,29,161503,3966.0,2961.0,218.0,3128.0
310,48,29,161504,4590.0,3738.0,247.0,4059.0
311,48,29,161600,4638.0,3798.0,277.0,3700.0
312,48,29,161801,4044.0,3838.0,131.0,2962.0
313,48,29,161802,7623.0,6650.0,337.0,6053.0
314,48,29,161901,1093.0,1021.0,0.0,778.0
315,48,29,161902,9979.0,8684.0,485.0,7032.0
316,48,29,162001,2162.0,1843.0,26.0,1604.0
317,48,29,162003,5194.0,4617.0,63.0,4042.0
318,48,29,162004,3297.0,2746.0,22.0,2499.0
319,48,29,170101,4133.0,3554.0,15.0,4066.0
320,48,29,170102,3802.0,2980.0,31.0,3755.0
321,48,29,170200,5664.0,4350.0,28.0,5583.0
322,48,29,170300,6519.0,4899.0,200.0,6213.0
323,48,29,170401,4243.0,3341.0,284.0,3786.0
324,48,29,170402,4455.0,3543.0,35.0,4337.0
325,48,29,170500,4884.0,3572.0,26.0,4480.0
326,48,29,170600,4612.0,4340.0,79.0,4168.0
327,48,29,170700,5071.0,4595.0,22.0,4788.0
328,48,29,170800,1382.0,1264.0,5.0,1342.0
329,48,29,170900,3389.0,2874.0,26.0,3241.0
330,48,29,171000,6016.0,4889.0,12.0,5704.0
331,48,29,171100,3581.0,3114.0,6.0,3500.0
332,48,29,171200,4693.0,3939.0,50.0,4444.0
333,48,29,171301,2926.0,2464.0,14.0,2774.0
