rn,D08,R08,D16,R16
303,1027,1438,813,1018
304,643,892,499,628
305,862,678,229,176
306,1084,860,1053,629
307,995,854,668,519
308,559,601,452,409
309,1390,848,0,0
310,0,0,1483,769
312,1077,638,126,28
314,1082,1006,806,586
315,770,496,478,278
316,899,511,599,291
317,1031,707,1583,586
318,1097,465,0,0
319,375,392,0,0
320,0,0,1030,542
321,1182,519,0,0
322,1773,120,1659,203
323,1087,237,0,0
324,1434,944,630,387
325,0,0,421,209
326,338,413,684,631
327,962,961,0,0
328,721,694,938,769
329,0,0,641,832
330,1019,1105,770,796
331,1031,1252,0,0
332,768,766,861,1221
333,610,741,502,697
334,453,97,2869,355
335,3833,842,1434,287
337,1111,1239,768,744
339,331,684,0,0
341,632,1086,429,887
342,548,920,0,0
343,1226,1816,1271,2459
344,1133,972,0,0
345,2307,2437,1435,2370
346,986,927,1202,1666
347,865,1162,761,1636
349,1416,2172,406,705
350,0,0,417,792
351,1635,1557,490,708
352,945,965,475,810
353,2356,2783,369,753
354,0,0,892,1626
355,801,783,1670,2517
356,1037,833,596,634
357,1586,1779,549,908
358,909,897,0,0
359,245,554,124,594
360,683,1356,342,1232
361,601,885,355,868
362,325,700,185,463
363,1099,1513,0,0
364,0,0,506,1070
365,233,604,132,553
366,647,1065,364,1042
367,705,851,515,847
369,1225,2415,729,2490
370,618,1488,761,2940
371,741,1778,0,0
372,1127,2421,0,0
373,402,945,758,2145
374,1172,2740,863,2644
375,1147,1987,894,1732
376,609,1128,504,1016
377,0,0,1479,2602
379,841,1497,0,0
380,813,1614,545,894
381,1559,2458,847,1244
382,1198,2972,0,0
384,0,0,1078,4289
385,652,861,0,0
386,0,0,1188,2695
387,1992,3388,236,449
389,1452,2535,190,268
390,0,0,850,1609
391,1409,1986,453,676
392,401,888,530,1363
393,1326,3104,0,0
394,457,1105,388,1100
395,914,2141,934,3163
396,597,1313,238,779
397,539,1352,0,0
398,125,393,0,0
399,606,1196,311,1172
400,243,345,256,896
401,858,1387,1322,2823
402,748,1552,0,0
403,1237,2648,1851,5176
404,790,1671,0,0
406,926,1146,454,1176
407,627,669,567,1258
408,1212,1158,0,0
409,1555,1767,889,1868
410,0,0,559,826
411,613,680,525,931
412,1637,1468,882,1108
413,1433,1574,450,361
414,487,233,0,0
415,690,1533,332,1346
416,844,1373,635,1336
417,1107,1717,528,1542
418,0,0,400,1341
419,1430,1993,352,814
420,878,1325,459,1426
421,1036,1360,625,1262
422,585,1251,0,0
423,809,1898,729,3293
424,462,1170,259,1292
426,1545,536,1969,717
427,0,0,975,323
428,2797,1178,203,336
429,1170,651,725,593
430,780,626,518,708
431,424,563,216,523
432,0,0,2161,1502
433,0,0,2915,756
434,1543,630,0,0
435,3436,711,0,0
436,1707,622,1049,238
437,3036,943,1200,300
438,699,820,0,0
439,3220,1361,1873,615
440,754,515,0,0
441,882,672,2207,1075
442,1625,430,1048,283
443,1370,703,895,484
444,722,843,1679,712
445,1773,652,467,193
446,2131,399,1477,385
447,1472,1847,0,0
448,1737,1728,1691,2305
449,383,650,196,609
450,848,1082,504,1018
451,467,910,306,897
452,955,1312,692,1170
453,1552,1516,905,1340
454,3099,1541,1520,432
456,375,789,288,773
457,1179,1110,756,1054
458,744,1749,292,1334
459,846,798,421,435
460,730,1054,0,0
461,1829,565,1250,454
462,176,362,487,898
463,258,727,141,660
464,135,356,130,418
465,962,1243,1414,2020
467,0,0,837,432
469,2826,1744,2271,1165
470,1178,581,0,0
471,1144,481,1286,629
472,505,303,0,0
473,617,359,1660,894
474,1500,983,1774,1448
475,917,466,0,0
476,1025,493,0,0
477,1720,1306,0,0
478,1128,774,1381,962
479,527,385,1661,1298
480,979,766,442,314
481,752,401,626,329
482,1138,1210,941,1137
483,869,914,0,0
484,602,503,521,421
486,649,958,1212,1517
487,498,887,241,872
488,312,713,206,719
489,1210,1306,927,1360
490,697,1310,436,1461
491,1543,1909,603,1011
492,539,1106,280,478
493,731,1073,1778,2629
494,1410,1368,315,326
495,1861,2783,0,0
496,426,453,0,0
497,1234,1837,1073,2367
499,776,840,1123,2379
500,679,776,0,0
501,1274,960,0,0
502,531,460,2288,2387
503,949,664,0,0
504,1374,1402,582,879
505,0,0,398,518
506,346,487,919,1857
507,1032,1469,584,861
508,562,802,1248,2104
509,191,187,521,658
510,1116,1474,375,504
511,316,709,0,0
512,854,1270,764,1941
513,300,671,146,671
514,864,1472,276,954
515,730,1262,322,1143
516,1666,759,1254,580
517,829,1313,422,1334
518,0,0,106,359
519,480,956,307,963
520,917,1336,0,0
521,1109,602,0,0
522,940,1076,0,0
523,653,698,0,0
524,1034,898,703,963
525,65,122,0,0
526,376,1050,270,1186
527,388,1180,167,1209
528,272,614,136,721
529,644,1482,252,1521
530,286,614,155,498
531,769,1932,241,1424
532,550,1337,159,1227
533,356,659,285,575
534,737,1202,403,974
535,886,1690,632,1432
536,879,991,0,0
537,741,1192,380,845
538,913,1516,308,884
539,1105,1586,561,1009
540,856,975,0,0
541,688,870,932,1422
542,0,0,512,1298
543,1360,369,665,228
544,1611,2004,916,1657
545,1108,1041,1093,964
546,1350,515,279,247
547,2098,1180,929,657
548,0,0,1419,1220
549,1714,1675,1447,2028
550,1982,1512,0,0
551,775,1538,438,1255
553,544,464,0,0
554,771,886,0,0
555,1145,740,1167,1223
556,748,438,638,367
557,919,501,973,907
558,984,2052,1030,2790
559,0,0,277,935
560,718,1983,992,3344
561,469,1004,0,0
562,762,1532,674,1856
564,608,1347,418,992
565,1200,3373,1270,4333
566,447,1012,0,0
567,999,1969,577,1155
568,662,1383,0,0
569,573,1195,0,0
570,610,1256,0,0
571,1416,2213,409,835
572,688,1277,0,0
573,1141,2448,425,864
574,665,1055,0,0
575,444,828,0,0
576,448,874,1311,2595
577,509,879,0,0
578,880,2330,188,912
579,485,1308,236,1170
580,1123,3004,0,0
581,631,1629,291,1579
582,806,2228,423,2110
583,439,1168,258,1238
584,319,600,186,604
585,679,455,1080,1254
586,625,515,418,524
587,79,47,0,0
588,1805,2204,448,671
589,101,32,0,0
590,1194,843,0,0
591,1263,1359,2035,1718
592,919,817,0,0
593,770,486,1225,605
594,1055,644,1132,635
595,1183,1168,1896,1818
596,819,379,0,0
597,1491,1266,519,194
598,956,1184,2502,2047
599,1308,1425,0,0
600,1255,1424,340,271
601,1686,1236,1326,601
602,868,676,836,514
603,1101,900,639,483
604,1714,1226,0,0
605,1435,1184,1094,726
606,1661,1093,602,222
607,1173,994,664,477
608,864,781,1235,881
609,1331,666,475,252
610,1002,1121,0,0
611,1626,2623,1057,1475
612,1229,1568,1044,1358
613,674,1323,1310,2766
614,1391,2201,822,1258
615,2065,1888,2680,2076
616,725,793,0,0
617,1531,1740,540,706
618,2568,906,475,175
619,1224,323,2117,520
620,1561,547,950,230
621,2572,716,844,297
622,1402,701,2271,1269
623,1085,641,971,725
624,2601,861,0,0
625,2615,961,1882,674
626,1529,592,412,155
627,2540,664,1494,388
628,1701,521,1029,295
629,1860,539,1507,497
630,895,247,1189,341
631,929,675,612,378
632,2350,739,1464,369
633,661,338,0,0
634,1668,717,0,0
635,987,297,1020,315
636,1931,811,1471,551
637,1348,577,0,0
638,1385,1299,0,0
639,1745,1082,2583,1336
640,831,375,512,224
641,2084,792,943,260
642,1408,833,2058,933
643,1511,662,0,0
644,751,221,1283,344
645,727,923,275,522
646,1000,1211,573,993
647,1319,775,685,547
648,814,792,167,290
649,537,700,309,616
650,0,0,1566,868
651,741,898,1481,1336
652,2499,1509,0,0
653,2497,1667,696,260
654,750,914,247,494
655,2655,1934,498,523
656,1186,1411,656,812
657,1095,796,902,1058
658,644,825,360,609
659,1635,717,0,0
660,1936,751,1378,489
661,1522,608,0,0
662,1526,526,966,263
663,1437,605,1981,761
664,0,0,3175,1278
665,942,641,1242,619
666,643,523,505,455
667,1638,1547,1450,1312
668,628,672,1658,1117
669,2340,997,732,266
670,1548,577,1869,785
671,1448,1063,0,0
672,1069,618,678,344
673,1667,708,0,0
674,2102,1304,1872,828
675,1313,447,961,293
676,1646,865,0,0
677,814,353,1606,762
678,764,264,198,63
679,634,179,565,176
680,1132,454,1398,559
681,1710,754,996,294
682,1509,343,1038,196
683,1484,562,1108,349
684,1774,900,693,210
685,1028,369,2116,703
686,1040,437,0,0
687,0,0,1538,455
688,1881,656,608,302
690,1055,299,0,0
691,1188,668,432,161
692,1177,290,720,131
693,1272,518,832,286
694,1081,354,0,0
695,1323,533,1263,289
696,1772,676,2381,767
697,1843,567,791,196
698,1704,596,936,336
699,832,300,642,193
700,1870,604,1069,287
701,1101,443,800,268
702,1058,347,0,0
704,1482,643,914,378
705,1543,669,1074,374
706,0,0,1097,482
707,1772,867,0,0
709,1107,281,0,0
710,0,0,832,211
712,2494,873,781,265
713,861,499,1585,511
714,0,0,707,304
715,0,0,985,352
716,1431,441,1109,287
718,1150,353,706,218
719,1223,449,0,0
720,891,451,538,239
721,3206,1299,965,294
722,1221,480,779,271
723,1287,466,3133,1323
724,1698,762,0,0
725,685,289,1493,461
726,1898,896,848,351
727,2683,918,1180,343
728,0,0,1223,278
729,2224,1002,3159,972
730,1989,978,2101,828
731,1253,616,273,139
732,835,427,0,0
733,772,493,1162,496
734,1154,480,798,255
735,1410,442,735,163
736,1349,345,0,0
737,881,280,0,0
738,417,92,438,94
739,217,41,0,0
740,1118,568,0,0
741,1237,457,87,38
742,1157,813,823,491
743,1028,866,2766,1755
744,1066,798,0,0
745,1445,998,1227,765
746,0,0,581,261
747,1422,835,1067,537
748,1439,851,1045,543
749,917,434,0,0
750,3592,1907,903,311
751,1431,977,1908,1294
752,662,581,0,0
753,1572,579,1981,664
754,1973,1206,634,364
755,1411,720,1914,703
756,1228,243,0,0
757,1597,533,730,234
758,4360,1287,1708,482
759,1672,198,1896,211
761,2896,967,1947,494
762,2000,187,0,0
764,2678,316,0,0
765,1683,491,1758,390
766,1800,470,1818,382
767,1823,618,1058,253
768,1740,722,982,372
769,0,0,1312,91
770,513,138,0,0
772,1219,296,683,108
773,1484,71,0,0
774,776,50,0,0
775,1000,122,1244,97
776,953,60,0,0
777,2762,211,2851,174
779,1553,164,1063,82
780,1327,185,1284,164
781,1288,456,886,253
782,2059,365,771,80
783,1446,162,0,0
784,404,107,789,81
785,1383,165,0,0
786,1148,164,696,84
787,1787,186,2260,186
788,914,93,0,0
789,922,108,0,0
790,2458,380,2006,222
791,1465,215,841,101
792,2490,432,1209,193
793,1161,300,746,152
794,705,184,543,99
795,2038,955,2874,961
796,1783,1084,1194,630
797,1123,415,631,207
798,529,190,765,317
799,1658,904,492,185
800,1769,498,1005,217
801,1482,398,943,208
802,2009,553,1641,364
803,1516,198,0,0
804,1831,346,560,55
805,785,217,814,208
806,1471,787,2145,655
808,1249,584,639,274
809,2123,441,0,0
810,985,427,0,0
811,728,367,0,0
812,786,384,0,0
813,959,336,840,207
814,1058,385,847,217
815,718,246,605,131
817,1280,384,2002,410
818,1101,374,693,220
819,1289,372,934,201
820,870,223,0,0
821,1043,313,803,157
822,1172,297,0,0
823,732,207,579,141
824,1114,339,716,164
825,2127,527,1604,297
826,1821,419,1866,336
827,1407,766,686,180
828,1037,412,818,219
829,1313,542,1333,570
830,1009,417,780,222
831,560,189,503,115
832,1333,349,922,218
833,1047,426,835,242
834,878,336,0,0
835,2078,661,1409,391
836,1393,393,548,183
837,1776,483,1926,392
840,776,241,1368,294
841,1299,308,0,0
842,1182,347,761,164
843,1436,671,1364,400
844,1815,487,659,123
845,1003,373,693,180
846,1168,320,459,112
847,1748,452,1201,189
848,2134,618,1022,152
849,992,246,676,114
851,1473,591,1759,480
852,3267,1123,604,128
853,0,0,1971,398
854,1543,567,0,0
855,2665,680,759,149
856,1415,455,2185,676
857,1754,1092,1455,1110
858,2425,1239,0,0
859,2083,1414,1472,769
860,1156,645,763,334
861,1301,476,0,0
862,1053,529,1454,583
863,789,260,510,139
864,936,445,604,264
865,0,0,1506,364
866,793,318,0,0
867,1813,415,0,0
868,0,0,880,202
869,1142,210,740,96
871,1244,954,800,495
872,2058,340,1114,155
873,0,0,588,149
875,1306,127,1328,156
876,1395,202,0,0
877,1594,386,1113,176
878,2170,334,0,0
879,2012,454,790,124
880,1665,299,1005,166
881,554,443,350,285
882,2071,1635,1342,983
883,1311,589,379,234
884,2275,344,3112,458
885,2510,616,704,185
886,2675,792,1364,426
888,0,0,1883,165
889,3439,386,0,0
890,777,608,808,620
891,760,583,444,336
892,1211,260,0,0
893,3581,86,3520,155
894,823,316,1584,450
895,1062,593,200,72
896,2637,416,365,89
897,1269,370,652,149
898,0,0,726,169
899,1419,74,1833,148
900,2007,139,332,56
901,1235,264,828,136
902,3531,574,0,0
903,0,0,887,97
904,1975,135,0,0
905,593,193,819,134
906,1524,80,0,0
907,3195,125,1035,87
908,1663,102,0,0
909,3026,123,3100,157
910,1874,185,1987,199
911,2216,252,0,0
912,1376,110,1765,190
913,1342,156,0,0
914,690,586,331,366
915,589,349,209,203
916,1318,235,1109,173
917,1658,237,1525,233
918,2186,163,0,0
919,1759,245,1798,178
920,112,47,75,36
921,2268,205,0,0
922,2705,151,1525,104
923,2285,109,0,0
924,3804,304,1118,88
925,0,0,406,19
926,2981,217,0,0
927,1872,112,1659,125
928,722,132,1233,79
930,1233,131,2604,205
931,1721,127,0,0
932,950,318,0,0
933,1922,113,0,0
934,1336,129,1360,199
935,2114,233,1012,108
936,2008,266,0,0
937,1539,139,1066,222
938,3718,364,1088,158
939,956,151,1202,133
940,2958,224,1511,128
941,1690,244,0,0
942,984,159,2333,160
943,2173,133,0,0
944,3178,130,1248,65
945,1992,88,0,0
947,1473,222,766,111
948,1778,187,1949,246
949,1144,71,551,35
950,1948,23,0,0
951,1792,91,779,35
952,1174,32,558,19
953,1866,29,1026,25
954,1726,58,737,23
955,2286,52,2045,48
957,1445,40,754,26
958,0,0,1654,39
959,1332,24,0,0
960,2288,42,0,0
961,2190,36,974,33
962,0,0,741,26
963,1530,144,1740,129
964,1069,93,1577,109
965,2105,140,928,50
966,0,0,298,40
967,2693,96,0,0
968,1287,24,719,27
969,1962,40,968,29
970,2018,37,197,6
971,1778,41,0,0
972,2120,34,963,39
974,0,0,1672,47
975,1026,47,0,0
976,3129,109,1654,64
977,2107,43,829,34
978,2606,78,0,0
979,1637,28,662,25
980,1985,25,1047,20
981,368,13,1091,42
982,1814,29,1364,31
985,2317,29,1953,53
986,2288,44,0,0
987,1911,25,1106,21
988,1119,24,0,0
989,2328,16,2928,69
990,2200,34,1392,25
991,1051,15,1012,19
992,1449,9,644,6
993,1120,12,568,10
994,1057,18,535,12
995,1456,16,807,14
996,1288,20,1081,20
997,1482,18,779,28
998,1330,10,0,0
999,1349,20,882,30
1000,1421,15,780,21
1001,2267,49,1354,52
1002,1889,44,877,41
1003,1941,33,1570,61
1006,4802,262,0,0
1007,1747,29,608,51
1008,1339,48,0,0
1009,2149,55,0,0
1010,1843,17,990,22
1011,1910,22,1527,22
1012,1597,35,904,33
1013,3747,97,1926,81
1014,1296,30,2406,130
1015,0,0,190,5
1016,982,178,1284,159
1017,2272,472,1483,173
1018,2533,209,767,43
1019,1339,79,2293,260
1020,883,151,639,76
1021,1916,72,680,53
1022,0,0,1029,58
1023,816,118,0,0
1024,1067,104,0,0
1025,1472,123,1081,105
1026,2598,203,0,0
1027,0,0,1050,111
1028,0,0,1963,122
1029,1396,144,903,88
1030,1724,71,1790,144
1031,1043,212,727,145
1032,887,32,0,0
1033,702,88,561,66
1034,821,113,696,85
1035,1678,117,1958,127
1036,1315,45,0,0
1039,1774,65,1705,89
1040,744,69,0,0
1041,0,0,1089,55
1042,1469,68,0,0
1043,582,57,656,32
1046,944,91,783,77
1047,1567,140,1339,81
1049,818,139,1410,136
1051,1275,94,0,0
1052,1303,128,208,25
1054,1354,232,1035,128
1056,2227,399,1443,211
1057,353,76,543,94
1058,1255,366,1552,211
1059,1050,264,905,194
1060,698,102,0,0
1061,1069,151,687,96
1062,1329,243,309,76
1063,2675,685,1096,179
1064,1431,142,891,73
1065,1441,143,897,79
1066,1522,151,978,79
1067,1386,49,0,0
1068,0,0,1011,39
1069,807,377,648,233
1070,752,338,1385,372
1071,1155,372,655,164
1072,710,220,0,0
1073,1262,265,1769,296
1074,1464,453,0,0
1075,625,184,490,105
1076,811,218,994,222
1077,725,298,741,247
1078,922,542,1138,457
1079,2461,822,1077,270
1080,902,115,1309,280
1081,1618,199,1127,118
1082,301,149,580,146
1083,497,649,533,1017
1084,272,657,150,691
1085,723,1063,370,989
1086,799,1427,636,2027
1087,838,1530,0,0
1088,404,746,211,511
1089,1134,1878,563,1185
1090,958,1749,732,1807
1091,784,1593,358,1103
1092,530,1103,248,827
1093,765,1320,0,0
1095,1160,1967,332,944
1096,628,1011,613,2013
1097,568,952,556,1677
1098,1036,1594,0,0
1099,632,813,371,820
1100,876,1618,446,1120
1101,1362,1773,1739,3331
1102,436,816,447,1075
1103,970,1548,485,1713
1104,423,600,0,0
1105,891,1654,1176,1452
1106,1135,1002,947,1023
1107,911,731,1397,872
1108,2174,1172,0,0
1109,1418,1901,523,695
1110,1294,1925,830,1782
1111,1142,1454,699,1309
1112,1184,294,1079,1001
1113,1162,1200,92,260
1114,315,498,126,366
1115,271,397,177,314
1116,543,1035,154,386
1117,751,1011,653,1438
1118,131,190,0,0
1119,639,1401,291,1009
1120,833,1388,0,0
1121,1272,1356,0,0
1122,849,600,1393,1660
1123,0,0,285,665
1124,1410,1459,0,0
1125,641,881,186,300
1126,954,1058,461,690
1127,463,537,260,502
1128,641,919,539,907
1129,1337,1419,503,570
1130,1773,1955,1039,1528
1131,1129,889,810,1067
1132,0,0,259,201
1133,1266,508,263,72
1134,525,387,344,271
1135,827,839,385,460
1136,947,1013,0,0
1137,0,0,669,762
1138,372,290,241,250
1139,496,417,0,0
1140,1659,1824,1245,2397
1141,1430,1930,1088,2676
1142,232,350,120,401
1143,646,1219,849,2082
1144,682,860,0,0
1145,865,1573,451,1691
1146,656,1461,316,1607
1147,650,1539,285,1727
1148,342,989,168,1164
1150,732,1078,358,1134
1151,787,1451,379,1567
1153,661,877,181,145
1154,803,749,1215,1947
1155,475,922,247,845
1156,935,1733,553,1871
1157,617,1083,378,1033
1158,1600,2352,753,1792
1159,858,1145,848,2088
1160,651,863,386,1036
1161,1269,468,619,152
1162,68,48,295,261
1163,0,0,457,73
1164,1215,1127,165,73
1165,1031,547,584,263
1166,1052,1327,311,526
1167,902,1069,734,1257
1168,1944,242,1132,108
1169,2025,2164,778,1436
1170,923,1168,972,1233
1171,595,570,459,480
1172,501,708,697,1090
1173,908,1576,648,1396
1174,624,1514,427,1753
1175,1059,2033,330,850
1176,368,828,49,314
1177,621,1145,397,1134
1178,1304,1850,968,1742
1179,1046,1439,744,1569
1181,1295,2148,749,1875
1183,416,786,315,1068
1184,1170,1699,0,0
1185,863,1418,470,1301
1186,349,580,465,1267
1187,846,343,805,1737
1188,575,959,816,924
1189,1072,1625,0,0
1190,176,255,175,496
1191,1360,1679,794,1103
1192,97,206,170,109
1193,1319,1213,972,1245
1194,499,876,205,551
1196,762,432,1277,771
1197,982,623,779,307
1198,429,168,0,0
1199,584,272,0,0
1200,661,242,523,140
1201,0,0,802,200
1202,976,319,0,0
1203,782,272,772,206
1204,705,16,702,43
1205,754,280,434,168
1206,442,79,1661,189
1207,961,132,0,0
1208,567,26,0,0
1209,967,182,1103,133
1210,257,9,0,0
1211,734,74,795,57
1212,1148,22,567,12
1214,1070,9,748,11
1215,647,7,0,0
1216,202,2,877,111
1217,1001,15,534,16
1218,301,4,0,0
1219,0,0,189,5
1220,1965,12,934,16
1221,999,10,575,7
1222,989,6,654,13
1224,1006,9,0,0
1225,241,2,0,0
1226,1873,68,309,12
1227,2319,43,1638,55
1228,1864,88,1093,44
1229,785,16,0,0
1230,537,15,855,26
1231,847,1,0,0
1232,852,1,943,25
1233,1305,9,757,18
1234,912,9,1382,28
1235,979,6,616,3
1236,679,4,646,9
1237,246,4,0,0
1238,1559,199,0,0
1239,1164,132,1765,146
1240,1489,350,1049,188
1241,1603,204,1857,108
1242,280,51,0,0
1243,1374,58,1038,54
1244,1086,55,355,19
1245,491,9,541,20
1246,0,0,543,101
1247,620,91,310,36
1248,523,13,971,23
1249,975,26,485,18
1250,1678,26,501,5
1251,385,6,530,9
1252,836,251,0,0
1253,1553,502,2330,489
1254,781,409,745,318
1255,695,278,650,237
1256,569,31,285,20
1257,320,101,290,95
1258,1671,131,1294,79
1259,471,7,1091,29
1260,1319,22,167,2
1261,920,5,1564,18
1262,1604,8,666,9
1263,566,1,474,9
1264,1253,8,757,6
1265,595,3,0,0
1266,997,2,764,15
1267,1038,8,1445,29
1268,782,3,0,0
1269,2307,21,0,0
1270,1608,20,401,13
1271,1778,19,2068,46
1272,3223,42,1644,45
1273,1648,11,1013,20
1274,1572,8,747,15
1275,1208,8,0,0
1276,0,0,1090,22
1277,1444,10,0,0
1278,375,4,0,0
1279,1469,15,1588,26
1280,2265,13,557,4
1281,1413,7,864,14
1283,2866,20,480,9
1285,455,10,922,21
1286,1488,24,0,0
1287,0,0,194,4
1288,620,2,296,4
1289,1394,122,428,37
1290,731,3,475,7
1292,777,100,690,74
1293,1289,17,0,0
1294,139,5,595,7
