rn,D12,R12,D16,R16
854,1110,576,1106,504
855,2400,2208,2364,1902
856,1212,4296,1242,4011
857,2568,9688,2748,8988
858,520,2538,624,2398
859,4188,1953,3981,1620
860,2721,2259,2757,2043
861,1198,968,1094,1038
862,2846,58,2592,68
863,6189,33,5535,69
865,2541,4410,1920,3678
866,537,5568,393,5652
867,5424,7014,4806,7824
868,639,3786,582,4434
869,3500,16037,3290,18011
870,660,10235,585,11480
871,396,4096,392,5336
872,1758,2127,1698,1989
873,3976,580,3464,712
874,758,284,677,281
875,3132,7032,2544,7062
876,21420,14292,20306,14703
877,3453,2403,7497,4368
878,800,2232,1215,3880
879,376,3024,328,3316
880,288,2334,264,2742
881,9390,10662,23232,33728
882,759,2979,1055,5120
883,1945,4700,1530,4895
884,336,2505,306,2643
885,3808,11809,3528,13232
886,1792,9504,1416,9512
887,3075,3855,2886,4008
888,780,4184,616,4124
889,1230,6744,798,7602
890,2163,2721,1904,4740
891,311,642,570,2379
892,34,65,69,229
893,566,1694,456,1900
894,1683,2595,2217,3288
895,17,95,22,120
896,1236,3378,1428,3849
897,1038,1557,1158,1914
898,4084,4008,3604,4860
899,606,1096,604,1254
900,24,75,184,321
902,64,184,77,235
903,750,1430,1008,1725
904,592,454,996,690
905,98,198,59,220
906,177,467,167,503
907,0,0,0,0
909,2598,912,2451,843
911,20016,36264,18792,34716
912,802,2850,636,2640
913,816,3561,1014,3693
914,4023,2868,3708,3048
915,5565,4875,5620,5540
916,7758,20130,7290,22356
917,3357,3705,3333,3657
918,241,1307,270,1328
919,101,943,98,1116
920,5404,2420,4776,2380
921,5816,3108,6470,4015
922,605,840,589,855
923,20009,15246,21372,17796
924,2562,8766,2125,8660
925,321,108,236,103
926,2736,174,2520,148
927,5084,1244,7798,1897
928,5080,8715,4464,10908
929,640,1136,403,642
930,8836,4176,12710,4730
931,14504,13512,15455,14883
932,5880,4990,6690,6355
933,752,680,794,658
934,2046,1128,1720,1250
935,422,480,434,505
936,17030,4980,22169,7392
937,4434,2412,4800,2880
938,3656,4464,4045,5705
939,2024,226,1832,282
940,2960,2672,2368,2780
941,1975,5075,2035,6270
942,2385,2487,1956,2532
943,306,3219,198,3459
944,1338,4437,1179,4725
945,15008,9100,14976,9192
946,8932,10780,7910,11018
947,1092,2274,1352,3340
948,8766,5058,7260,5424
949,669,3432,693,3303
950,1970,9240,1685,9775
951,3532,6640,3412,6652
952,13464,2058,13076,2191
953,21834,8883,20690,7520
954,4104,4212,4825,4715
955,8360,1904,8200,2235
956,1326,3414,1269,3978
957,1815,6710,1885,8060
958,11718,12355,11382,12565
959,723,4050,462,4872
960,6810,18240,7175,23954
961,2804,3984,2584,4036
962,2322,5976,2178,7026
963,5992,12383,6816,15944
964,5404,4564,4552,4644
965,5394,11376,6368,13968
966,746,1792,738,1980
967,19584,20868,21936,27360
968,3276,1134,3656,1784
969,27,101,18,132
970,229,0,186,7
971,1112,7060,892,5604
972,3680,8300,3804,9924
973,2820,3984,2140,4596
974,2050,11305,1550,11640
975,894,4311,606,4551
976,7716,9828,6498,11118
977,183,361,174,429
978,89,154,67,177
979,934,1194,1080,1848
980,1386,248,1160,232
981,13020,7196,14040,9816
982,598,1028,488,958
984,3216,4096,2956,4240
985,7745,3650,6615,3620
986,1048,6684,747,6246
987,987,8073,942,9378
988,1608,11168,1644,12632
989,5496,17076,5060,20190
990,97,709,104,712
991,2472,11952,3036,12700
992,3258,19896,4026,19230
993,4722,28992,3980,25284
994,1788,9819,1216,7208
995,7385,11928,7116,14370
996,4475,12960,4455,12890
997,882,6018,1302,6201
998,1048,4068,1365,4953
999,4135,16525,5238,19164
1000,2420,8416,2572,8848
1001,660,1578,1020,2931
1002,8100,25254,8220,29220
1003,4212,7612,4540,8764
1004,554,2970,552,3230
1005,364,1194,506,1550
1006,1275,6426,1536,6417
1007,9947,27363,10395,28791
1008,3256,8552,3720,8748
1009,1239,6921,1233,6888
1010,335,544,394,530
1011,6476,3248,9455,3940
1012,1804,6716,1824,7104
1013,1575,5268,1581,5529
1014,2708,7012,2784,7404
1015,3176,6244,2952,6808
1016,1964,3384,2112,3636
1017,6375,8155,6825,8665
1018,80,399,200,722
1019,1144,1666,1146,1866
1020,2787,4878,2829,5127
1021,876,4713,624,3090
1022,1824,9772,3408,13884
1023,2080,8344,2400,8348
1024,1996,10616,1844,10520
1025,873,4572,1044,4500
1026,572,3756,606,3782
1027,4155,11400,4165,12355
1028,0,0,0,0
1029,1272,3654,1164,3912
1030,10296,7392,11396,8204
1031,10360,10941,10730,12790
1032,1980,7400,1740,7480
1033,18669,9597,19352,11304
1034,964,3214,824,3620
1035,5404,11718,6132,12985
1036,2472,4071,2301,4434
1037,5960,5620,5440,6085
1038,1095,5847,1167,6216
1039,5545,9220,5025,10490
1040,6872,40872,6896,44896
1041,6066,9888,6330,9360
1042,4671,1461,4395,1290
1043,3804,2548,3740,2564
1044,5210,10525,5385,11290
1045,7818,14658,7530,19540
1046,1892,12748,1512,11212
1047,22,148,17,205
1048,123,931,102,1020
1049,3178,2310,3960,3260
1050,381,723,415,1160
1051,5796,3882,8470,6140
1052,470,2196,642,3747
1053,2931,3744,4645,7965
1054,69,220,70,260
1055,780,2798,754,3146
1056,1985,10990,1672,8804
1057,7710,14688,9216,20160
1058,2560,12305,2598,15378
1059,288,1184,158,1248
1060,450,1158,525,1974
1061,5106,5370,5928,7256
1062,16614,16785,17472,19140
1063,26040,72156,35640,106100
1064,888,8636,796,9804
1065,774,3273,531,4086
1066,4845,11865,4320,17196
1067,98,472,112,896
1068,66,96,48,140
1069,71,392,45,479
1070,64,117,61,153
1071,1842,1497,2276,2464
1072,3350,11465,4776,14418
1073,1356,1995,1564,2572
1074,7256,8456,6720,8816
1075,630,2952,692,4016
1076,8496,12280,10791,17171
1077,908,7508,612,8120
1078,492,3408,492,5060
1079,576,4755,441,5565
1080,522,2446,1030,6235
1081,6496,23360,9195,39270
1082,171,717,280,1280
1083,2230,11290,2322,14148
1084,1950,8385,1530,7555
1085,19780,10450,21084,12672
1086,252,1078,202,954
1087,1116,5583,1152,8048
1088,1840,9008,4422,26191
1089,174,1272,264,2163
1090,549,2811,510,4527
1091,980,11375,672,12271
1092,1372,15351,1134,16401
1093,472,3740,252,4756
1094,11856,17030,9958,17095
1095,2455,4020,2320,3940
1096,3492,6561,2709,7515
1097,0,0,0,0
1098,777,2576,707,3318
1099,357,1539,372,1542
1100,470,755,570,655
1101,830,6935,480,8385
1102,944,3652,816,4388
1103,3476,2428,3060,2640
1104,582,4623,486,5124
1105,1791,3516,1731,4167
1106,6255,3340,5600,3220
1107,1088,2294,1000,2738
1108,1420,10810,1095,12330
1109,140,1456,102,1770
1110,1768,4848,1512,4180
1111,1260,946,1112,802
1112,7959,6951,7294,6209
1113,2555,6670,1925,7130
1114,465,2325,408,2577
1115,3115,4025,5142,4734
1116,2520,4208,2149,6461
1117,1444,4948,1396,5404
1118,1737,5145,1710,5748
1119,400,1684,338,1878
1120,2012,468,4216,824
1121,2380,6668,3437,10297
1122,4980,340,10044,621
1123,3375,8725,5280,17130
1124,5817,11662,6903,16146
1125,17001,6894,15993,6228
1126,822,1042,708,976
1127,3628,5256,3180,5332
1128,630,1107,653,1202
1129,10437,17122,10052,17262
1130,3080,12936,2718,15129
1131,1140,7950,1002,9186
1132,804,2028,711,2250
1133,10460,8060,7648,7216
1134,426,1016,344,1132
1135,21840,38840,12684,22788
1136,192,2812,308,7140
1137,1452,6858,1232,7224
1138,8916,11268,9061,11713
1139,2068,3600,2466,3654
